Time,Cloudness,MaxWindSpeed,MinWindSpeed,MaxDayTemp,MinDayTemp
136,64.000,5.100,2.000,19.000,11.000
137,68.000,6.200,3.200,19.000,12.000
138,50.000,5.200,2.500,14.000,7.000
139,72.000,6.100,2.700,13.000,7.000
140,49.000,5.800,3.200,14.000,7.000
141,76.000,4.900,2.900,15.000,7.000
142,54.000,5.700,3.100,11.000,6.000
143,59.000,5.400,2.200,16.000,7.000
144,59.000,6.100,3.400,17.000,8.000
145,64.000,6.900,3.300,12.000,8.000
146,70.000,5.200,2.300,13.000,5.000
147,40.000,5.900,2.700,16.000,8.000
148,51.000,5.700,3.100,19.000,9.000
149,51.000,5.400,2.700,19.000,11.000
150,44.000,5.600,2.800,19.000,10.000
151,56.000,6.200,3.300,19.000,12.000
152,48.000,5.700,2.600,18.000,10.000
153,63.000,5.200,2.300,18.000,10.000
154,47.000,5.100,2.200,19.000,11.000
155,47.000,5.400,2.200,19.000,12.000
156,66.000,3.700,2.000,18.000,12.000
157,56.000,5.000,2.400,20.000,11.000
158,53.000,4.700,2.700,21.000,13.000
159,70.000,5.700,2.800,20.000,13.000
160,58.000,5.300,2.200,20.000,12.000
161,55.000,4.400,1.800,21.000,13.000
162,59.000,5.000,2.500,20.000,13.000
163,70.000,5.900,2.500,18.000,13.000
164,61.000,6.000,3.300,19.000,12.000
165,42.000,5.700,3.200,19.000,13.000
166,44.000,5.500,3.200,22.000,13.000
167,47.000,5.600,2.800,22.000,14.000
168,30.000,5.300,3.000,22.000,13.000
169,42.000,5.300,3.100,23.000,14.000
170,31.000,4.600,2.600,25.000,15.000
171,38.000,4.400,1.800,26.000,16.000
172,47.000,4.100,1.800,24.000,16.000
173,63.000,4.300,1.700,23.000,17.000
174,43.000,5.400,2.300,24.000,16.000
175,40.000,5.500,3.000,24.000,15.000
176,48.000,4.500,2.600,23.000,15.000
177,49.000,5.100,2.100,23.000,16.000
178,38.000,4.400,2.400,24.000,15.000
179,59.000,6.200,2.600,24.000,15.000
180,62.000,5.700,1.800,23.000,16.000
181,49.000,4.900,2.500,22.000,13.000
182,71.000,5.600,3.400,23.000,15.000
183,65.000,5.600,3.500,20.000,14.000
184,69.000,4.700,2.400,20.000,13.000
185,66.000,5.200,2.600,21.000,13.000
186,52.000,4.900,2.900,23.000,15.000
187,50.000,5.500,2.700,25.000,16.000
188,56.000,5.800,2.600,24.000,16.000
189,43.000,4.600,2.500,24.000,16.000
190,67.000,5.300,2.800,24.000,16.000
191,65.000,4.500,2.200,21.000,16.000
192,51.000,4.800,2.500,22.000,14.000
193,57.000,4.100,1.900,25.000,16.000
194,60.000,4.900,2.600,24.000,17.000
195,63.000,5.500,3.000,24.000,16.000
196,54.000,5.600,3.100,23.000,16.000
197,39.000,5.100,2.800,25.000,16.000
198,42.000,4.600,2.200,25.000,16.000
199,44.000,3.900,2.000,25.000,17.000
200,57.000,3.900,1.800,24.000,17.000
201,55.000,4.300,2.300,23.000,16.000
202,68.000,4.600,2.500,23.000,15.000
203,43.000,6.200,2.900,23.000,16.000
204,51.000,6.000,3.400,22.000,14.000
205,43.000,5.700,2.800,22.000,15.000
206,53.000,4.200,2.100,24.000,16.000
207,51.000,3.600,1.700,24.000,17.000
208,60.000,4.600,2.200,23.000,16.000
209,76.000,5.400,3.200,23.000,15.000
210,76.000,5.000,2.000,22.000,15.000
211,51.000,4.100,2.500,22.000,14.000
212,45.000,4.900,2.600,23.000,15.000
213,47.000,4.400,2.300,24.000,15.000
214,60.000,5.200,2.600,22.000,16.000
215,68.000,5.000,2.000,22.000,15.000
216,51.000,4.600,2.600,23.000,16.000
217,57.000,4.700,2.100,23.000,15.000
218,46.000,5.600,2.500,22.000,15.000
219,45.000,3.600,2.200,23.000,14.000
220,61.000,5.200,2.900,24.000,16.000
221,63.000,6.100,3.300,22.000,15.000
222,52.000,6.200,2.900,20.000,14.000
223,61.000,4.700,2.800,20.000,13.000
224,42.000,4.300,1.900,23.000,14.000
225,46.000,5.300,3.300,24.000,16.000
226,55.000,5.000,2.800,22.000,15.000
227,58.000,4.800,3.100,20.000,14.000
228,47.000,4.700,2.900,19.000,13.000
229,47.000,4.500,2.400,21.000,13.000
230,44.000,4.300,2.100,21.000,12.000
231,55.000,5.200,2.800,21.000,14.000
232,60.000,5.600,2.500,22.000,14.000
233,61.000,5.000,2.700,23.000,15.000
234,65.000,4.800,2.900,22.000,14.000
235,61.000,4.500,2.300,18.000,13.000
236,69.000,4.200,2.300,19.000,12.000
237,72.000,6.000,3.400,19.000,13.000
238,64.000,5.100,3.300,17.000,13.000
239,61.000,5.400,3.200,18.000,12.000
240,57.000,4.500,2.300,19.000,12.000
241,77.000,5.400,3.300,21.000,14.000
242,61.000,5.200,2.700,21.000,14.000
243,64.000,5.700,3.200,21.000,14.000
244,50.000,5.200,2.900,24.000,14.000
245,57.000,6.200,4.000,21.000,16.000
246,56.000,5.600,3.600,19.000,11.000
247,69.000,5.800,2.600,18.000,11.000
248,49.000,5.300,3.400,15.000,10.000
249,63.000,4.700,2.500,17.000,10.000
250,34.000,4.600,2.400,19.000,10.000
251,53.000,4.800,2.700,16.000,11.000
252,58.000,5.700,2.700,17.000,10.000
253,72.000,5.900,3.100,16.000,10.000
254,72.000,5.300,2.400,16.000,10.000
255,61.000,4.800,2.700,15.000,9.000
256,58.000,5.400,3.000,15.000,9.000
257,80.000,4.700,2.200,13.000,8.000
258,87.000,5.200,2.900,13.000,8.000
259,66.000,6.000,2.700,11.000,7.000
260,81.000,4.900,2.500,12.000,6.000
261,65.000,5.200,2.300,13.000,7.000
262,66.000,4.500,2.700,12.000,7.000
263,66.000,6.200,3.500,12.000,7.000
264,71.000,5.700,3.100,12.000,7.000
265,68.000,4.900,2.800,12.000,7.000
266,61.000,4.700,2.800,12.000,7.000
267,66.000,4.800,2.700,12.000,6.000
268,68.000,4.100,2.100,14.000,7.000
269,65.000,4.500,2.500,14.000,8.000
270,67.000,5.200,2.900,12.000,9.000
271,62.000,4.800,2.400,12.000,7.000
272,83.000,5.700,3.000,10.000,6.000
273,64.000,4.600,1.900,10.000,5.000
274,60.000,5.400,3.100,14.000,6.000
275,65.000,5.200,2.800,13.000,9.000
276,77.000,6.100,3.000,12.000,7.000
277,74.000,5.100,2.600,9.000,7.000
278,71.000,4.300,2.100,8.000,4.000
279,65.000,5.500,3.000,7.000,4.000
280,75.000,5.400,2.300,8.000,4.000
281,94.000,5.400,2.900,8.000,4.000
282,76.000,5.300,2.700,7.000,4.000
283,76.000,4.900,2.500,8.000,5.000
284,61.000,4.700,2.900,9.000,5.000
285,51.000,4.800,3.000,8.000,5.000
286,56.000,5.800,3.300,7.000,3.000
287,62.000,5.900,3.900,8.000,4.000
288,59.000,6.000,3.300,9.000,4.000
289,73.000,5.400,2.600,8.000,5.000
290,79.000,5.400,2.900,6.000,3.000
291,80.000,6.200,3.800,6.000,3.000
292,83.000,6.100,3.100,3.000,1.000
293,67.000,6.000,3.000,3.000,-1.000
294,86.000,5.000,2.800,4.000,1.000
295,88.000,6.700,3.500,4.000,2.000
296,91.000,5.700,3.400,2.000,0.000
297,74.000,4.400,2.400,2.000,-1.000
298,79.000,4.600,2.900,1.000,-1.000
299,89.000,4.500,2.000,1.000,-1.000
300,86.000,4.900,2.900,0.000,-3.000
301,92.000,5.500,3.300,0.000,-2.000
302,79.000,5.700,3.100,1.000,-2.000
303,95.000,5.000,2.900,2.000,-1.000
304,91.000,6.200,3.700,3.000,1.000
305,94.000,5.800,3.200,2.000,1.000
306,89.000,5.400,2.300,1.000,0.000
307,89.000,5.500,2.900,3.000,-1.000
308,94.000,5.500,3.000,2.000,1.000
309,92.000,5.700,3.800,2.000,0.000
310,97.000,6.000,3.500,1.000,0.000
311,89.000,7.400,4.400,-1.000,-1.000
312,82.000,6.500,4.000,-4.000,-5.000
313,77.000,5.900,3.100,-6.000,-8.000
314,55.000,6.100,4.000,-7.000,-10.000
315,77.000,6.200,2.900,-5.000,-7.000
316,86.000,5.800,2.700,-3.000,-6.000
317,89.000,5.900,3.600,-3.000,-5.000
318,96.000,5.800,2.900,-3.000,-4.000
319,93.000,5.600,3.000,-3.000,-5.000
320,92.000,6.500,3.600,-3.000,-5.000
321,97.000,6.200,3.600,-2.000,-4.000
322,88.000,5.900,3.800,-2.000,-4.000
323,96.000,6.700,3.500,-3.000,-5.000
324,96.000,6.800,4.200,-3.000,-5.000
325,96.000,7.300,4.200,-5.000,-5.000
326,98.000,7.600,5.300,-3.000,-6.000
327,91.000,7.000,4.000,-4.000,-6.000
328,85.000,6.800,3.700,-6.000,-8.000
329,78.000,6.400,3.400,-8.000,-10.000
330,68.000,6.700,4.100,-6.000,-9.000
331,90.000,5.800,3.100,-6.000,-8.000
332,78.000,6.100,4.100,-6.000,-7.000
333,82.000,6.100,3.200,-8.000,-10.000
334,99.000,6.500,4.100,-7.000,-10.000
335,91.000,6.600,4.100,-7.000,-9.000
336,90.000,6.500,3.600,-8.000,-10.000
337,72.000,5.400,3.500,-11.000,-12.000
338,86.000,7.400,3.800,-9.000,-14.000
339,99.000,6.700,3.100,-7.000,-10.000
340,96.000,6.400,3.600,-8.000,-11.000
341,91.000,6.800,3.700,-8.000,-10.000
