Time,MinTemp,Cloudness,Qout,24h out,Qd,%,Qf,Qbs a,Qbs w,Qbs s,% bs a/d,% bs w/d,% bs s/d,% f/d,Qhwp,% hw
11,-1.4E+01,84,2.547361328E+02,6.113667187200001E+03,1.7774660624091405E+03,2.9073647746651426E-01,1.315578732067437E+03,1.5636058826624585E+03,1.712920607593659E+03,0E+00,1.203174475561127E-01,3.6313185483832985E-02,1E+00,2.598571866489935E-01,4.96E+03,3.583600932276493E-01
12,-1.5E+01,97,2.6222837200000004E+02,6.293480928000001E+03,3.32778233727302E+02,5.2876657216319754E-02,2.4681589695945502E+02,2.932012077648389E+02,3.2095174845188814E+02,0E+00,1.1892913042772746E-01,3.553863827856341E-02,1E+00,2.5831718560742634E-01,4.96E+03,6.709238583211734E-02
13,-1.5E+01,96,2.6222837200000004E+02,6.293480928000001E+03,4.4306012624169296E+02,7.039985205492513E-02,3.293188928777386E+02,3.9099120786633017E+02,4.276559974966955E+02,0E+00,1.1752111122488779E-01,3.476758081496692E-02,1E+00,2.56717376778581E-01,4.96E+03,8.932663835518004E-02
14,-1.4E+01,89,2.547361328E+02,6.113667187200001E+03,1.2165994019974694E+03,1.9899666840625976E-01,9.061623488445845E+02,1.0754066424981281E+03,1.1752773101715386E+03,0E+00,1.1605525965862265E-01,3.396524094791296E-02,1E+00,2.551678495346907E-01,4.96E+03,2.452821374994898E-01
15,-1.5E+01,73,2.6222837200000004E+02,6.293480928000001E+03,2.981090207814493E+03,4.7367907234794004E-01,2.225105205100436E+03,2.639682071497304E+03,2.882280350217944E+03,0E+00,1.1452459084338927E-01,3.3145544317153934E-02,1E+00,2.535934674946612E-01,4.96E+03,6.010262515755026E-01
16,-1.6E+01,91,2.697206112E+02,6.4732946688E+03,9.921476672070064E+02,1.532678053401403E-01,7.420560517424634E+02,8.800855401718178E+02,9.600894896690126E+02,0E+00,1.1294904048976352E-01,3.2311901340493734E-02,1E+00,2.520709605341063E-01,4.96E+03,2.0002977161431582E-01
17,-2E+01,70,2.99689568E+02,7.192549632E+03,3.3015855273569814E+03,4.5902853595449217E-01,2.4745780322704118E+03,2.9338787367059986E+03,3.1976364349705455E+03,0E+00,1.1137278971093122E-01,3.148459778646123E-02,1E+00,2.504879816784919E-01,4.96E+03,6.656422434187462E-01
18,-2E+01,76,2.99689568E+02,7.192549632E+03,2.6368012956235475E+03,3.666017518867428E-01,1.9801218404658762E+03,2.347496610652421E+03,2.556043580086315E+03,0E+00,1.0971804566817457E-01,3.0627152554601123E-02,1E+00,2.4904396711561108E-01,4.96E+03,5.316131644402313E-01
19,-1.6E+01,78,2.697206112E+02,6.4732946688E+03,2.412916932141271E+03,3.7274943527150917E-01,1.8155865093867453E+03,2.1522136666317215E+03,2.341080519953837E+03,0E+00,1.0804485725838742E-01,2.9771605988808247E-02,1E+00,2.4755531978651366E-01,4.96E+03,4.8647518793170785E-01
20,-1.8E+01,73,2.847050896E+02,6.8329221504E+03,2.9561161891093793E+03,4.3262840173531436E-01,2.2284866979083445E+03,2.641881472820551E+03,2.870690318044983E+03,0E+00,1.0629985297820814E-01,2.889800860301546E-02,1E+00,2.4614373882924256E-01,4.96E+03,5.95991167159149E-01
21,-1.8E+01,76,2.847050896E+02,6.8329221504E+03,2.622874472323895E+03,3.8385838658652827E-01,1.9811094236066879E+03,2.3487086682473273E+03,2.5493891400769403E+03,0E+00,1.0452875536725709E-01,2.801709842478516E-02,1E+00,2.446800468299181E-01,4.96E+03,5.288053371620757E-01
22,-1.8E+01,67,2.847050896E+02,6.8329221504E+03,3.599942512293796E+03,5.268525578157004E-01,2.7242625194033667E+03,3.2300391998134887E+03,3.5022204279260127E+03,0E+00,1.0275256096926218E-01,2.7145456916065347E-02,1E+00,2.4324832685521613E-01,4.96E+03,7.257948613495556E-01
